date,open,high,low,close,volume
2022-02-20 05:44:00,39579.68,39579.68,39555.36,39560.2,6.50917333
2022-02-20 05:45:00,39556.73,39581.11,39552.01,39569.4,4.13325269
2022-02-20 05:46:00,39569.4,39586.98,39569.4,39584.12,1.45450898
2022-02-20 05:47:00,39585.88,39592.16,39555.98,39561.32,1.9392604900000001
2022-02-20 05:48:00,39566.39,39573.95,39515.59,39523.33,2.05238831
2022-02-20 05:49:00,39521.93,39523.75,39483.72,39497.61,29.74666583
2022-02-20 05:50:00,39502.38,39509.27,39329.23,39423.58,56.02414268
2022-02-20 05:51:00,39424.03,39496.42,39424.03,39457.55,11.23489917
2022-02-20 05:52:00,39459.42,39473.79,39404.64,39473.79,8.8534232
2022-02-20 05:53:00,39490.81,39495.0,39444.31,39444.31,5.93567263
2022-02-20 05:54:00,39445.62,39451.29,39304.19,39350.69,21.60753999
2022-02-20 05:55:00,39344.83,39414.2,39309.49,39383.68,21.30879829
2022-02-20 05:56:00,39385.88,39422.1,39361.64,39417.0,7.01125224
2022-02-20 05:57:00,39413.06,39414.63,39372.23,39385.67,5.9453260199999995
2022-02-20 05:58:00,39388.09,39410.31,39387.33,39390.54,6.4711705
2022-02-20 05:59:00,39386.99,39390.54,39350.61,39367.29,8.73558346
2022-02-20 06:00:00,39367.4,39417.83,39366.54,39387.59,6.31725538
2022-02-20 06:01:00,39387.59,39405.75,39381.65,39397.9,2.99586011
2022-02-20 06:02:00,39400.69,39417.71,39393.67,39402.18,1.53882771
2022-02-20 06:03:00,39407.2,39451.71,39389.51,39392.87,10.00425692
2022-02-20 06:04:00,39392.87,39397.4,39356.98,39359.82,4.25968684
2022-02-20 06:05:00,39359.83,39387.57,39328.13,39384.98,6.25598197
2022-02-20 06:06:00,39386.19,39410.83,39386.18,39406.33,3.74779259
2022-02-20 06:07:00,39409.47,39414.54,39363.05,39371.42,4.11296031
2022-02-20 06:08:00,39367.69,39376.67,39331.95,39345.92,4.40626161
2022-02-20 06:09:00,39346.13,39351.7,39303.48,39307.91,8.29099293
2022-02-20 06:10:00,39304.12,39310.8,39118.11,39203.36,71.1430545
2022-02-20 06:11:00,39203.35,39223.16,39070.51,39116.58,48.17390881
2022-02-20 06:12:00,39117.9,39200.0,38900.0,39015.68,204.14957777
2022-02-20 06:13:00,39020.12,39058.24,38974.83,39028.94,39.8551675
